"district","count"
"TH",0
"TH",0
"TH",461
"TH",885
"HD",459
"HD",1576
"HD",3596
"HD",1889
"HD",92
"HD",3
"HD",198
"HD",559
"CH",1297
"CH",1387
"CH",100
"CH",162
"CH",694
"CH",51
"CH",38
"CH",3971
"CH",116
"CH",810
"CH",473
"CH",0
"NS",0
"NS",1718
"NS",1526
"NS",71
"NS",12
"NS",2860
"NS",25
"NS",3238
"NS",205
"NS",0
"PY",835
"PY",591
"PY",1
"PY",2875
"PY",3
"PY",13
"PY",5
"PY",120
"BY",18
"BY",446
"BY",2025
"BY",120
"BY",0
"BY",0
"ZC",481
"ZC",1752
"ZC",0
"ZC",0
"ZC",586
"ZC",715
"ZC",424
"HP",0
"HP",8
"HP",0
"HP",1003
"HP",1454
"HP",205
"HYL",85
"HYL",1955
"HYL",0
"HYL",0
"HYL",0
"HYL",0
"HYL",1388
"HYL",362
