habitat,count
urban green space,0
urban green space,0
urban green space,885
urban green space,3596
urban green space,92
urban green space,559
urban green space,100
urban green space,38
urban green space,3971
urban green space,116
urban green space,810
urban green space,0
urban green space,1718
urban green space,205
urban green space,1
urban green space,0
urban green space,481
urban green space,0
urban green space,424
urban green space,0
urban green space,8
urban green space,1003
urban green space,1454
urban green space,205
urban green space,0
urban green space,0
urban green space,0
urban green space,362
freshwater,1387
freshwater,162
freshwater,51
freshwater,2860
freshwater,25
freshwater,0
freshwater,5
freshwater,85
wasteland,461
wasteland,1889
wasteland,0
wasteland,3238
wasteland,591
wasteland,120
wasteland,0
wasteland,0
wasteland,1388
farmland,0
farmland,459
farmland,1576
farmland,3
farmland,198
farmland,1297
farmland,694
farmland,473
farmland,1526
farmland,71
farmland,12
farmland,835
farmland,2875
farmland,3
farmland,13
farmland,18
farmland,446
farmland,2025
farmland,120
farmland,1752
farmland,586
farmland,715
farmland,1955
forest,0
forest,0
