"Name","forest","farmland","urban green space","wasteland","freshwater"
"Aenictus aratus",85,0,0,0,0
"Camponotus dolendus",0,11,0,0,0
"Camponotus nicobarensis",0,1,1,3,0
"Camponotus pseudoirritans",0,3,0,0,0
"Carebara affinis",0,159,32,0,624
"Crematogaster biroi",0,0,20,0,0
"Crematogaster rogenhoferi",0,24,243,0,0
"Diacamma rugosum",21,3,0,0,0
"Leptogenys kitteli",25,0,0,0,0
"Monomorium chinense",24,305,452,113,207
"Monomorium triviale",0,0,73,0,0
"Nylanderia bourbonica",0,0,15,8,3
"Nylanderia sharpii",69,25,11,0,36
"Odontoponera transvers",39,3,2,0,0
"Paratrechina longicornis",0,25,7,27,0
"Pheidole hongkongensis",0,0,105,140,192
"Pheidole megacephala",0,85,639,0,0
"Pheidole nodus",0,0,0,32,6
"Pheidole parva",0,372,749,57,442
"Pheidole pieli",86,47,641,434,0
"Polyrhachis illaudata",0,0,8,0,0
"Solenopsis invicta",0,17652,16028,7687,4575
"Tapinoma melanocephalum",0,121,1283,613,80
"Technomyrmex albipes",0,22,0,0,0
"Tetramorium bicarinatum",0,36,0,0,0
